timestamp,open,high,low,close,volume
2019-03-11,51.99,54.89,48.67,52.36,16326.97289
2019-03-18,52.38,54.6,50.0,52.64,38150.43109
2019-03-25,52.57,56.83,49.76,56.07,50723.0164
2019-04-01,56.01,72.9,55.66,69.34,138730.91531
2019-04-08,69.35,72.27,61.51,66.25,93693.45798
2019-04-15,66.32,69.99,63.27,68.29,55532.78431
2019-04-22,68.18,70.75,60.03,62.07,90359.92661
2019-04-29,61.92,68.99,60.11,66.52,50259.16991
2019-05-06,66.71,81.72,64.26,75.66,71353.20054
2019-05-13,75.45,97.27,72.0,90.09,92787.9195
2019-05-20,89.72,92.5,80.18,91.3,82086.43936
2019-05-27,91.22,98.99,88.28,94.77,70617.92912
2019-06-03,94.77,96.0,81.17,83.38,62368.48405
2019-06-10,83.04,97.82,82.29,95.99,69721.3203
2019-06-17,95.99,121.55,95.03,116.01,132053.5444
2019-06-24,115.68,119.98,87.8,88.71,215557.69305
2019-07-01,88.74,107.07,82.43,106.99,140517.03946
2019-07-08,106.78,107.4,85.01,86.23,106105.01867
2019-07-15,85.94,90.52,71.8,84.1,130863.2049
2019-07-22,84.23,85.57,77.18,80.18,47742.63093
2019-07-29,80.31,88.9,77.47,87.76,41320.85595
2019-08-05,87.66,98.1,87.63,92.3,62618.84824
2019-08-12,92.3,92.49,78.0,87.75,41299.04146
2019-08-19,87.75,91.28,78.06,80.6,41357.17181
2019-08-26,80.75,83.91,65.7,71.34,43926.69909
2019-09-02,71.32,79.71,69.67,77.15,60896.86567
2019-09-09,77.03,77.55,69.43,75.45,56865.60069
2019-09-16,75.45,82.18,70.8,73.0,142352.11303
2019-09-23,73.0,77.9,54.06,55.82,343714.98162
2019-09-30,55.89,58.28,50.0,54.71,190002.29576
2019-10-07,54.68,57.45,52.32,53.25,204377.24128
2019-10-14,53.26,60.61,51.64,56.4,378510.01954
2019-10-21,56.34,67.01,50.86,59.67,337595.0183
2019-10-28,59.75,65.0,56.94,63.25,217887.91154
2019-11-04,63.32,67.49,59.88,63.78,216314.47067
2019-11-11,63.84,66.0,60.86,61.73,230524.74915
2019-11-18,61.66,61.94,47.16,47.44,333612.39866
2019-11-25,47.44,58.89,45.44,53.38,243679.20625
2019-12-02,53.48,57.3,51.65,53.68,235782.44041
2019-12-09,53.7,54.72,50.64,50.8,182936.59244
2019-12-16,50.81,51.1,43.75,47.34,398408.18284
2019-12-23,47.39,48.61,44.53,46.5,389957.54953
2019-12-30,46.53,54.26,44.31,53.69,347145.17787
2020-01-06,53.68,64.25,53.67,59.19,547778.26813
2020-01-13,59.21,72.0,56.66,65.17,618535.16091
2020-01-20,65.23,66.88,58.0,63.97,212877.1746
2020-01-27,64.02,77.86,63.41,74.89,443652.40262
2020-02-03,74.86,87.82,73.7,87.59,453194.22675
2020-02-10,87.63,96.86,79.51,87.8,528711.40144
2020-02-17,87.77,89.03,74.97,85.05,540983.9039
2020-02-24,85.13,86.3,63.26,64.53,515001.36791
2020-03-02,64.39,70.05,55.78,56.44,419093.20986
2020-03-09,56.38,57.71,25.08,38.01,1080972.47254
2020-03-16,38.01,45.46,29.2,38.21,1175493.81731
2020-03-23,38.19,51.44,37.59,44.04,916614.39997
2020-03-30,44.04,55.3,43.85,53.15,775466.6674
2020-04-06,53.15,60.58,52.43,53.68,640984.4873
2020-04-13,53.67,58.8,51.01,57.05,603393.97388
2020-04-20,57.02,62.45,53.96,61.33,439441.76217
2020-04-27,61.36,68.42,60.91,62.37,517965.02411
2020-05-04,62.42,65.93,53.25,58.85,777439.1041
2020-05-11,58.77,67.15,55.7,65.22,622614.87437
2020-05-18,65.21,67.78,59.96,60.64,405471.66026
