timestamp,open,high,low,close,volume
2019-03-15,51.99,54.89,48.67,52.36,16326.97289
2019-03-18,52.38,54.6,51.27,54.19,18946.60052
2019-03-21,54.29,54.29,50.0,52.67,15438.4046
2019-03-24,52.56,52.92,49.76,51.74,18156.84739
2019-03-27,51.81,54.15,51.67,53.72,20194.8142
2019-03-30,53.58,60.5,50.56,60.13,32622.76294
2019-04-02,60.05,72.9,58.87,63.57,82583.73365
2019-04-05,63.77,70.09,63.22,69.34,39661.1995
2019-04-08,69.35,72.27,66.82,70.86,45159.44264
2019-04-11,70.64,71.17,61.51,64.92,39140.70546
2019-04-14,64.82,69.66,63.27,68.16,26987.60878
2019-04-17,68.16,69.88,66.23,68.27,22415.10059
2019-04-20,68.29,69.99,66.45,68.17,27165.87271
2019-04-23,68.22,70.75,61.49,61.49,49931.60451
2019-04-26,61.7,65.42,60.03,62.07,28785.83421
2019-04-29,61.92,65.64,60.11,65.64,19116.36535
2019-05-02,65.48,68.97,63.92,68.4,23716.21658
2019-05-05,68.5,71.21,64.67,65.93,32829.56568
2019-05-08,65.93,69.33,64.26,68.84,13995.17211
2019-05-11,68.87,82.67,68.87,79.53,41925.00948
2019-05-14,79.51,97.27,72.0,87.2,42750.58802
2019-05-17,87.1,90.6,76.25,90.09,40067.37273
2019-05-20,89.72,92.5,80.18,83.07,46472.77842
2019-05-23,83.19,87.31,80.66,86.8,23278.08347
2019-05-26,86.67,98.84,85.0,95.93,33398.95544
2019-05-29,95.63,98.99,88.28,93.25,33666.635
2019-06-01,93.25,96.14,88.83,88.85,24792.09473
2019-06-04,88.81,89.0,81.17,86.69,29898.97672
2019-06-07,86.73,89.52,82.07,83.38,23565.32875
2019-06-10,83.04,90.14,82.29,90.1,23802.93868
2019-06-13,90.1,95.23,87.0,94.72,35639.92321
2019-06-16,94.85,99.68,93.8,96.49,32926.96015
2019-06-19,96.49,110.09,95.81,109.54,68545.57487
2019-06-22,109.5,121.55,107.57,117.86,53020.89463
2019-06-25,117.87,118.39,89.31,96.38,145561.62714
2019-06-28,96.39,103.0,87.8,88.71,57834.63907
2019-07-01,88.74,94.8,82.43,89.84,69282.2321
2019-07-04,89.93,98.98,86.18,94.65,51406.36636
2019-07-07,94.58,107.4,93.0,99.35,52587.64835
2019-07-10,99.35,101.82,86.13,98.08,40575.85717
2019-07-13,98.08,98.08,76.01,88.84,62169.96834
2019-07-16,88.84,89.37,71.8,84.06,62174.10072
2019-07-19,83.83,88.14,80.18,84.1,39289.08999
2019-07-22,84.23,85.57,78.39,80.44,22527.70845
2019-07-25,80.32,83.67,77.43,78.89,19994.78921
2019-07-28,78.85,83.66,77.18,78.24,15370.61559
2019-07-31,78.09,85.21,77.84,83.93,16737.89948
2019-08-03,84.1,95.0,83.95,93.55,26470.74784
2019-08-06,93.51,98.1,88.0,95.55,31432.83348
2019-08-09,95.55,96.0,88.7,92.3,19147.74107
2019-08-12,92.3,92.49,78.1,78.9,21661.23141
2019-08-15,79.04,83.84,78.0,81.52,15092.92737
2019-08-18,81.9,91.28,81.54,85.61,19004.99044
2019-08-21,85.84,86.51,78.22,82.08,17237.53046
2019-08-24,82.08,83.91,78.06,79.75,14913.93538
2019-08-27,79.7,80.08,66.71,66.9,21766.41506
2019-08-30,66.9,74.61,65.7,71.34,16905.88224
2019-09-02,71.32,75.75,69.67,73.79,29398.35151
2019-09-05,73.98,79.71,73.52,78.0,26555.45177
2019-09-08,77.97,78.98,70.2,72.27,24678.3551
2019-09-11,72.05,76.79,69.43,76.79,25214.90193
2019-09-14,76.79,76.82,71.23,75.37,27736.70158
2019-09-17,75.37,82.18,72.5,75.77,78581.77812
2019-09-20,75.66,77.98,70.8,73.0,47949.03938
2019-09-23,73.0,73.18,55.28,59.59,66644.71809
2019-09-26,59.86,77.9,54.06,57.6,263012.83626
2019-09-29,57.66,58.28,50.0,55.5,59935.94976
2019-10-02,55.52,57.77,53.84,57.11,87175.47567
2019-10-05,57.11,57.62,54.19,56.11,91473.39303
2019-10-08,56.12,57.45,54.88,55.69,94939.98278
2019-10-11,55.69,56.63,52.32,53.25,74912.16307
2019-10-14,53.26,55.3,51.64,54.79,121808.25406
2019-10-17,54.8,60.61,53.33,54.42,228533.27787
2019-10-20,54.35,59.37,53.67,56.67,98138.67947
2019-10-23,56.6,60.0,50.86,59.05,137031.74818
2019-10-26,59.11,67.01,55.15,59.29,162683.30609
2019-10-29,59.29,63.12,56.94,59.01,103639.46814
2019-11-01,59.01,65.0,58.23,63.25,82158.21557
2019-11-04,63.32,64.5,61.68,64.0,88836.838
2019-11-07,64.01,67.49,59.88,61.83,104728.2165
2019-11-10,61.91,66.0,60.86,62.26,96677.83616
2019-11-13,62.28,65.79,61.79,61.9,82607.73359
2019-11-16,61.84,63.11,57.73,58.41,109603.69677
2019-11-19,58.41,59.73,53.06,54.11,107186.08364
2019-11-22,54.11,54.92,47.16,47.44,190811.21382
2019-11-25,47.44,57.18,45.44,55.79,144520.49514
2019-11-28,55.73,58.89,53.57,54.86,83228.0318
2019-12-01,54.77,55.52,52.25,53.35,67373.84661
2019-12-04,53.28,57.3,51.65,54.03,131235.41092
2019-12-07,54.11,55.01,53.01,54.41,83752.19873
2019-12-10,54.43,54.72,51.01,52.93,83594.59534
2019-12-13,52.98,53.34,50.64,50.8,68693.66056
2019-12-16,50.81,51.1,43.75,47.76,131637.58604
2019-12-19,47.94,49.85,44.91,44.97,157195.53245
2019-12-22,44.99,48.61,44.96,45.82,285565.17528
2019-12-25,45.81,46.78,44.53,45.11,140153.61959
2019-12-28,45.11,47.13,44.92,46.17,105030.88585
2019-12-31,46.21,46.26,44.31,45.5,69450.17818
2020-01-03,45.54,54.26,45.45,53.69,246477.93285
2020-01-06,53.68,60.33,53.67,59.44,212455.61656
2020-01-09,59.46,64.25,56.76,58.25,291472.30555
2020-01-12,58.17,63.05,56.66,62.55,221822.00956
2020-01-15,62.47,72.0,61.81,68.95,335655.07111
2020-01-18,68.92,70.94,62.17,64.96,137825.15731
2020-01-21,64.98,66.88,61.15,62.55,75903.92353
2020-01-24,62.57,64.82,58.0,63.97,104056.52002
2020-01-27,64.02,70.84,63.41,70.02,135935.02599
2020-01-30,69.93,76.02,68.44,73.22,218637.13321
2020-02-02,73.25,78.23,70.99,75.17,246542.26893
2020-02-05,75.22,80.96,74.58,79.48,169885.01689
2020-02-08,79.47,87.9,76.85,84.53,187642.37688
2020-02-11,84.53,95.2,82.65,92.25,258940.66148
2020-02-14,92.25,96.86,79.51,87.8,207975.54743
2020-02-17,87.77,89.03,76.04,77.69,212140.08585
2020-02-20,77.71,82.82,74.97,78.9,264693.11552
2020-02-23,78.89,86.3,75.34,76.49,215573.19206
2020-02-26,76.48,77.94,66.05,68.41,265086.32338
2020-02-29,68.41,69.25,63.26,68.78,155124.97082
2020-03-03,68.87,70.05,64.71,68.46,133761.13048
2020-03-06,68.46,69.78,55.78,56.44,228699.66356
2020-03-09,56.38,57.71,50.97,54.2,265173.90904
2020-03-12,54.28,54.38,25.08,36.21,677138.79216
2020-03-15,36.18,41.25,29.2,36.26,465679.83713
2020-03-18,36.27,45.44,33.95,40.33,478591.79493
2020-03-21,40.35,46.75,37.59,44.45,521124.65174
2020-03-24,44.45,51.03,43.22,50.28,458233.04928
2020-03-27,50.28,51.44,43.96,44.04,307138.65554
2020-03-30,44.04,48.89,43.85,48.47,309080.55162
2020-04-02,48.47,55.3,47.92,54.11,396897.12823
2020-04-05,54.14,60.58,52.6,55.94,316969.56346
2020-04-08,55.97,58.93,52.43,53.7,252561.38523
2020-04-11,53.7,55.64,51.01,52.98,239217.52886
2020-04-14,53.04,57.65,51.56,56.9,317246.88936
2020-04-17,56.98,58.8,55.96,57.05,187872.08182
2020-04-20,57.02,58.38,53.96,56.95,176844.88733
2020-04-23,56.98,62.45,56.14,60.55,200948.63973
2020-04-26,60.55,63.83,59.84,62.07,199677.42251
2020-04-29,62.05,68.42,61.11,63.45,301014.63617
2020-05-02,63.45,65.12,58.53,61.06,152443.55466
2020-05-05,61.09,64.98,57.2,64.6,355838.68017
2020-05-08,64.59,65.93,53.25,58.85,348078.06981
2020-05-11,58.77,66.23,55.7,65.0,323829.82612
2020-05-14,65.03,65.88,62.03,65.42,244188.74184
2020-05-17,65.43,67.78,64.73,66.7,169466.76169
2020-05-20,66.71,67.09,59.96,62.89,193331.16226
2020-05-23,62.89,65.0,60.02,61.54,140268.0115
2020-05-26,61.58,67.56,60.79,67.15,176650.18518
2020-05-29,67.13,68.8,63.75,64.94,193817.85045
2020-06-01,64.92,70.31,63.3,67.16,195939.04296
2020-06-04,67.17,69.21,65.58,67.7,136555.37596
2020-06-07,67.65,68.79,64.64,67.99,150533.90791
2020-06-10,68.06,70.07,62.91,65.69,169745.77553
2020-06-13,65.7,66.6,61.87,64.53,119752.65772
2020-06-16,64.52,66.96,58.06,64.93,124712.14819
2020-06-19,64.86,65.34,63.38,64.48,122354.14088
2020-06-22,64.48,67.41,63.98,64.83,176571.84947
2020-06-25,64.88,65.12,60.26,62.08,149741.93905
2020-06-28,62.14,64.87,61.76,63.48,131827.85661
2020-07-01,63.5,67.5,62.38,62.66,262736.74062
2020-07-04,62.62,65.04,61.34,64.95,275296.39042
2020-07-07,64.91,69.32,63.71,67.28,247675.42571
2020-07-10,67.28,70.35,65.11,69.22,337896.53938
2020-07-13,69.26,72.57,66.75,70.63,298370.92217
2020-07-16,70.56,71.55,66.56,68.39,246434.71277
2020-07-19,68.38,71.67,67.64,69.63,203666.23185
2020-07-22,69.68,74.08,69.28,71.54,233151.07518
2020-07-25,71.6,79.5,71.48,78.43,305128.51309
2020-07-28,78.44,83.33,78.36,80.92,377441.36277
2020-07-31,80.92,91.04,77.77,85.0,376725.0038
2020-08-03,84.97,90.62,83.95,90.39,274150.56543
2020-08-06,90.39,96.52,88.32,94.87,294721.78825
2020-08-09,94.84,94.99,84.16,87.25,238140.64898
2020-08-12,87.33,93.63,84.07,91.42,258636.46777
2020-08-15,91.43,95.04,87.98,93.49,244964.25299
2020-08-18,93.45,101.73,88.84,101.56,441680.02526
2020-08-21,101.61,106.0,88.67,91.26,382728.42466
2020-08-24,91.25,94.34,85.78,88.93,210011.76299
2020-08-27,88.91,95.84,85.57,92.65,262047.74405
2020-08-30,92.65,97.74,91.5,96.99,235837.18684
2020-09-02,96.96,97.36,75.51,82.08,344650.19236
2020-09-05,82.08,83.6,73.93,82.56,288769.75964
2020-09-08,82.56,86.44,78.62,85.61,287984.66409
2020-09-11,85.61,90.1,82.97,86.18,220312.084
2020-09-14,86.17,95.2,84.31,88.27,280257.26174
2020-09-17,88.21,95.39,87.38,94.61,221241.00422
2020-09-20,94.55,97.0,85.58,92.56,243950.65781
2020-09-23,92.56,94.22,86.35,92.93,248822.48315
2020-09-26,92.97,100.0,92.24,95.12,280710.7976
2020-09-29,95.11,113.36,94.25,103.74,591363.71367
2020-10-02,103.86,109.45,93.52,105.46,351042.91639
2020-10-05,105.46,114.52,102.15,110.29,508541.79565
2020-10-08,110.27,118.79,107.49,115.88,466381.24351
2020-10-11,115.81,147.41,115.39,127.97,608957.72893
2020-10-14,127.9,135.01,119.01,120.62,428328.09675
2020-10-17,120.62,130.32,118.92,125.77,248947.89216
2020-10-20,125.74,129.68,116.55,127.6,398248.63843
2020-10-23,127.62,134.24,122.41,131.08,240593.39635
